Time (s),Illuminance (lx),Location
0.008769808,145.7624969,Costa Coffee (Evening)
0.208761839,147.5,Costa Coffee (Evening)
0.40878335,157.6625061,Costa Coffee (Evening)
0.608764339,169.7750092,Costa Coffee (Evening)
0.808775381,170.7250061,Costa Coffee (Evening)
1.008760277,175.8625031,Costa Coffee (Evening)
1.208776266,154.625,Costa Coffee (Evening)
1.408757412,132.3500061,Costa Coffee (Evening)
1.608773245,94.08750153,Costa Coffee (Evening)
1.808753141,93.08750153,Costa Coffee (Evening)
2.00876611,123.4375,Costa Coffee (Evening)
2.208749339,147.9000092,Costa Coffee (Evening)
2.408763454,150.1999969,Costa Coffee (Evening)
2.6087446,151.0875092,Costa Coffee (Evening)
2.808759495,146.75,Costa Coffee (Evening)
3.008739131,130.5625,Costa Coffee (Evening)
3.208755693,114.5125046,Costa Coffee (Evening)
3.408735954,105.9875031,Costa Coffee (Evening)
3.608747256,95.125,Costa Coffee (Evening)
3.808731631,78.1875,Costa Coffee (Evening)
4.008749391,76.98750305,Costa Coffee (Evening)
4.208727777,72.59999847,Costa Coffee (Evening)
4.408741423,72.84999847,Costa Coffee (Evening)
4.608735798,76.48750305,Costa Coffee (Evening)
4.808735589,99.76250458,Costa Coffee (Evening)
5.00871835,105.7874985,Costa Coffee (Evening)
5.208735225,107.3875046,Costa Coffee (Evening)
5.40871736,100.3625031,Costa Coffee (Evening)
5.608729808,98.36250305,Costa Coffee (Evening)
5.808735589,109.7750015,Costa Coffee (Evening)
6.008727933,122.6875,Costa Coffee (Evening)
6.208755745,128.8625031,Costa Coffee (Evening)
6.408723506,140.8249969,Costa Coffee (Evening)
6.608726318,151.5375061,Costa Coffee (Evening)
6.808701527,162.9499969,Costa Coffee (Evening)
7.008719756,117.5,Costa Coffee (Evening)
7.208696943,160.0625,Costa Coffee (Evening)
7.408710954,146.9000092,Costa Coffee (Evening)
7.608692204,136.3874969,Costa Coffee (Evening)
7.808710016,117.5500031,Costa Coffee (Evening)
8.008686318,110.9749985,Costa Coffee (Evening)
8.208706318,106.7874985,Costa Coffee (Evening)
8.408684339,106.8875046,Costa Coffee (Evening)
8.608700173,108.1875,Costa Coffee (Evening)
8.808686423,106.7874985,Costa Coffee (Evening)
9.008698089,105.2000046,Costa Coffee (Evening)
9.208675485,104.75,Costa Coffee (Evening)
9.408692725,107.1375046,Costa Coffee (Evening)
9.608672516,106.6875,Costa Coffee (Evening)
9.808684495,107.7375031,Costa Coffee (Evening)
10.00866762,109.8250046,Costa Coffee (Evening)
10.20868304,110.875,Costa Coffee (Evening)
10.40866325,111.2750015,Costa Coffee (Evening)
10.60867798,110.125,Costa Coffee (Evening)
10.80866148,107.9375,Costa Coffee (Evening)
11.00867684,105.1500015,Costa Coffee (Evening)
11.20865476,104.8499985,Costa Coffee (Evening)
11.40866746,102.0999985,Costa Coffee (Evening)
11.60866267,102.4500046,Costa Coffee (Evening)
11.80866903,105.5500031,Costa Coffee (Evening)
12.00866252,106.4375,Costa Coffee (Evening)
12.20866319,126.7750015,Costa Coffee (Evening)
12.4086447,152.5375061,Costa Coffee (Evening)
12.60866075,108.0875015,Costa Coffee (Evening)
12.80863976,33.28750229,Costa Coffee (Evening)
13.00865778,15.65000057,Costa Coffee (Evening)
13.2086372,7.675000191,Costa Coffee (Evening)
13.40864668,4.987500191,Costa Coffee (Evening)
13.60863371,5.337500095,Costa Coffee (Evening)
13.80864653,5.825000286,Costa Coffee (Evening)
14.00862778,5.825000286,Costa Coffee (Evening)
14.20864658,5.724999905,Costa Coffee (Evening)
14.40862486,5.4375,Costa Coffee (Evening)
14.60863809,5.087500095,Costa Coffee (Evening)
14.80862069,4.787499905,Costa Coffee (Evening)
15.00863533,4.9375,Costa Coffee (Evening)
15.20861564,4.837500095,Costa Coffee (Evening)
15.40862741,4.637500286,Costa Coffee (Evening)
15.60861205,4.1875,Costa Coffee (Evening)
15.80862746,3.487499952,Costa Coffee (Evening)
16.00860679,3.387500048,Costa Coffee (Evening)
16.20861772,3.537500143,Costa Coffee (Evening)
16.40860314,3.6875,Costa Coffee (Evening)
16.6086183,3.237499952,Costa Coffee (Evening)
16.80860054,3.237499952,Costa Coffee (Evening)
17.00861262,3.387500048,Costa Coffee (Evening)
17.2085976,3.137500048,Costa Coffee (Evening)
17.40861046,3.137500048,Costa Coffee (Evening)
17.6085913,3.4375,Costa Coffee (Evening)
17.80860458,3.9375,Costa Coffee (Evening)
18.00858786,3.587500095,Costa Coffee (Evening)
18.2086026,3.287500143,Costa Coffee (Evening)
18.40858333,3.4375,Costa Coffee (Evening)
18.60858218,3.387500048,Costa Coffee (Evening)
18.80858525,3.287500143,Costa Coffee (Evening)
19.00858869,2.287500143,Costa Coffee (Evening)
19.20858708,3.387500048,Costa Coffee (Evening)
19.40858947,4.087500095,Costa Coffee (Evening)
19.6085815,8.074999809,Costa Coffee (Evening)
19.80858583,6.724999905,Costa Coffee (Evening)
20.00856578,1.450000048,Costa Coffee (Evening)
20.20858041,0.8500000238,Costa Coffee (Evening)
20.40858333,0.6999999881,Costa Coffee (Evening)
20.6085602,7.925000191,Costa Coffee (Evening)
20.80860666,11.8125,Costa Coffee (Evening)
21.00857385,12.41250038,Costa Coffee (Evening)
21.20857468,8.175000191,Costa Coffee (Evening)
21.40856932,1.600000024,Costa Coffee (Evening)
21.6085665,5.775000095,Costa Coffee (Evening)
21.80855999,11.86250019,Costa Coffee (Evening)
22.00856525,12.96250057,Costa Coffee (Evening)
22.20854312,13.5,Costa Coffee (Evening)
22.40855859,10.16250038,Costa Coffee (Evening)
22.60854088,17.08749962,Costa Coffee (Evening)
22.80855249,25.0625,Costa Coffee (Evening)
23.00853562,28.75,Costa Coffee (Evening)
23.20855046,27.0625,Costa Coffee (Evening)
23.40853786,23.625,Costa Coffee (Evening)
23.60854666,17.33749962,Costa Coffee (Evening)
23.8085276,14.69999981,Costa Coffee (Evening)
24.00854703,16.83749962,Costa Coffee (Evening)
24.20852421,15.55000019,Costa Coffee (Evening)
24.40853864,19.63750076,Costa Coffee (Evening)
24.60851807,23.47500038,Costa Coffee (Evening)
24.8085339,24.41250038,Costa Coffee (Evening)
25.00851411,25.91250038,Costa Coffee (Evening)
25.20853317,25.71249962,Costa Coffee (Evening)
25.40852025,26.5625,Costa Coffee (Evening)
25.60853286,26.61250114,Costa Coffee (Evening)
25.80851291,23.32500076,Costa Coffee (Evening)
26.00852025,15.40000057,Costa Coffee (Evening)
26.20850942,14.80000019,Costa Coffee (Evening)
26.40851994,3.737499952,Costa Coffee (Evening)
26.6084989,4.387500286,Costa Coffee (Evening)
26.80851958,4.387500286,Costa Coffee (Evening)
27.0084952,5.337500095,Costa Coffee (Evening)
27.20851025,9.862500191,Costa Coffee (Evening)
27.40849713,11.0625,Costa Coffee (Evening)
27.60850635,11.36250019,Costa Coffee (Evening)
27.8084888,10.8125,Costa Coffee (Evening)
28.00850479,9.125,Costa Coffee (Evening)
28.20848463,9.025000572,Costa Coffee (Evening)
28.40849525,8.675000191,Costa Coffee (Evening)
28.608479,7.224999905,Costa Coffee (Evening)
28.80849354,5.487500191,Costa Coffee (Evening)
29.00847583,11.96250057,Costa Coffee (Evening)
29.2084976,22.02499962,Costa Coffee (Evening)
29.4084713,19.6875,Costa Coffee (Evening)
29.60848671,18.88750076,Costa Coffee (Evening)
29.80846802,16.73750114,Costa Coffee (Evening)
30.00847958,18.53750038,Costa Coffee (Evening)
30.20846359,20.82500076,Costa Coffee (Evening)
30.40847708,20.42500114,Costa Coffee (Evening)
30.6084602,16.60000038,Costa Coffee (Evening)
30.80847114,11.96250057,Costa Coffee (Evening)
31.00845703,11.96250057,Costa Coffee (Evening)
31.20846869,12.36250019,Costa Coffee (Evening)
31.40845062,10.51249981,Costa Coffee (Evening)
31.60846489,9.612500191,Costa Coffee (Evening)
31.80844671,9.225000381,Costa Coffee (Evening)
32.00846057,8.425000191,Costa Coffee (Evening)
32.20844192,8.375,Costa Coffee (Evening)
32.40846062,8.574999809,Costa Coffee (Evening)
32.60846239,8.525000572,Costa Coffee (Evening)
32.80844374,9.5625,Costa Coffee (Evening)
33.00844244,9.275000572,Costa Coffee (Evening)
33.2084489,9.412500381,Costa Coffee (Evening)
33.40843588,10.26249981,Costa Coffee (Evening)
33.60844322,10.96250057,Costa Coffee (Evening)
33.80845619,9.612500191,Costa Coffee (Evening)
34.00844244,11.71250057,Costa Coffee (Evening)
34.2084727,14.90000057,Costa Coffee (Evening)
34.40843588,9.912500381,Costa Coffee (Evening)
34.60844145,4.787499905,Costa Coffee (Evening)
34.80841426,5.237500191,Costa Coffee (Evening)
35.00842999,6.375,Costa Coffee (Evening)
35.20842947,9.025000572,Costa Coffee (Evening)
35.4084276,11.46250057,Costa Coffee (Evening)
35.60842552,13.05000019,Costa Coffee (Evening)
35.80841781,13.5,Costa Coffee (Evening)
