"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.480194300E-2,1.210405827E-1,4.639223218E-1,-3.579285741E-1
4.682017300E-2,1.732385010E-1,4.564654827E-1,-3.557980657E-1
4.883845400E-2,2.233058959E-1,4.468781054E-1,-3.526022732E-1
5.085022500E-2,2.723080218E-1,4.362254739E-1,-3.462106884E-1
5.286043300E-2,3.159838319E-1,4.266380966E-1,-3.355580568E-1
5.487058900E-2,3.532680571E-1,4.234423041E-1,-3.217096329E-1
5.688074500E-2,3.873564899E-1,4.213117659E-1,-3.046653867E-1
5.889090200E-2,4.097270370E-1,4.234423041E-1,-2.897517085E-1
6.090105800E-2,4.299670458E-1,4.266380966E-1,-2.663159072E-1
6.291121400E-2,4.427502155E-1,4.351601899E-1,-2.439453751E-1
6.492137000E-2,4.480765164E-1,4.447475672E-1,-2.215748429E-1
6.693152700E-2,4.491417706E-1,4.596612751E-1,-2.002695650E-1
6.894168300E-2,4.470112622E-1,4.788360000E-1,-1.800295562E-1
7.095183900E-2,4.395544231E-1,5.033370852E-1,-1.619200706E-1
7.296199500E-2,4.225101769E-1,5.267728567E-1,-1.395495385E-1
7.497215200E-2,4.075964987E-1,5.470128655E-1,-1.171789989E-1
7.698230800E-2,3.894870281E-1,5.683181286E-1,-9.374319762E-2
7.899246400E-2,3.671164811E-1,5.874928832E-1,-6.711161137E-2
8.100262000E-2,3.447459340E-1,6.024065614E-1,-4.474107176E-2
8.301277700E-2,3.234406710E-1,6.119939685E-1,-2.343579940E-2
8.502293300E-2,3.000048697E-1,6.183855534E-1,-3.195791040E-3
8.703308900E-2,2.786996067E-1,6.215813160E-1,1.491369121E-2
8.904324500E-2,2.605901062E-1,6.205160618E-1,3.089264594E-2
9.105340200E-2,2.435459048E-1,6.183855534E-1,4.580633715E-2
9.306355800E-2,2.318280041E-1,6.109287143E-1,5.965476483E-2
9.507371400E-2,2.233058959E-1,6.024065614E-1,7.350318879E-2
9.708387000E-2,2.201101035E-1,5.938844681E-1,8.522108942E-2
9.909402700E-2,2.179795653E-1,5.821665525E-1,9.587372839E-2
1.011041830E-1,2.201101035E-1,5.651223660E-1,1.054610983E-1
1.031143390E-1,2.265016884E-1,5.459476113E-1,1.107874215E-1
1.051244950E-1,2.350237966E-1,5.267728567E-1,1.129179448E-1
1.071346520E-1,2.467416972E-1,5.044023395E-1,1.139832065E-1
1.091448080E-1,2.605901062E-1,4.820317924E-1,1.097221524E-1
1.111549640E-1,2.765690684E-1,4.617917836E-1,1.033305749E-1
1.131651200E-1,2.946785688E-1,4.415517747E-1,9.374319762E-2
1.151752770E-1,3.095922470E-1,4.191812575E-1,8.522108942E-2
1.171854330E-1,3.298322558E-1,4.085285962E-1,7.243792713E-2
1.191955890E-1,3.490070105E-1,3.968107104E-1,5.858949944E-2
1.212057450E-1,3.681817353E-1,3.893538713E-1,4.261054471E-2
1.232159020E-1,3.894870281E-1,3.861580789E-1,2.876211889E-2
1.252260580E-1,4.086617529E-1,3.840275407E-1,1.597895473E-2
