"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.850418500E-2,5.206789970E0,5.596446514E0,7.611765862E0
3.051012200E-2,5.120598793E0,5.653907299E0,7.578247070E0
3.251809100E-2,5.082291603E0,5.792770863E0,7.645284653E0
3.452809100E-2,5.096656799E0,5.835866451E0,7.674015045E0
3.654007000E-2,5.096656799E0,5.855020046E0,7.693168640E0
3.855387200E-2,5.077503204E0,5.869385242E0,7.702745438E0
4.056928900E-2,5.015254021E0,5.883750439E0,7.712322235E0
4.258606000E-2,4.967370033E0,5.926846504E0,7.731475830E0
4.460387200E-2,4.852448463E0,5.931634903E0,7.650073051E0
4.662236200E-2,4.708796024E0,5.821501255E0,7.487267494E0
4.864116400E-2,4.804564476E0,5.807136059E0,7.544728279E0
5.065996600E-2,4.718372822E0,5.797559261E0,7.515997887E0
5.267022600E-2,4.641758442E0,5.768828869E0,7.329249859E0
5.468043500E-2,4.541202068E0,5.754463673E0,7.199963093E0
5.669064300E-2,4.450222492E0,5.768828869E0,7.099406719E0
5.870085100E-2,4.320935726E0,5.773617268E0,6.974907875E0
6.071106000E-2,4.225167274E0,5.797559261E0,6.879139900E0
6.272126800E-2,4.162918091E0,5.768828869E0,6.845621109E0
6.473147600E-2,4.110245705E0,5.720944881E0,6.821679115E0
6.674168500E-2,4.138976097E0,5.663484097E0,6.821679115E0
6.875189300E-2,4.182071686E0,5.606023312E0,6.950965881E0
7.076210100E-2,4.292205334E0,5.500678539E0,7.075464725E0
7.277231000E-2,4.330512524E0,5.390544891E0,7.137713909E0
7.478251800E-2,4.287416458E0,5.285200119E0,7.132925510E0
7.679272600E-2,4.225167274E0,5.289988518E0,7.142502308E0
7.880293500E-2,4.182071686E0,5.270834923E0,7.147290707E0
8.081314300E-2,4.138976097E0,5.299565315E0,7.156867504E0
8.282335100E-2,4.057573318E0,5.357026100E0,7.171232700E0
8.483356000E-2,4.000112534E0,5.390544891E0,7.190386295E0
8.684376800E-2,3.928286552E0,5.443217754E0,7.180809498E0
8.885397600E-2,3.842095137E0,5.481524944E0,7.147290707E0
9.086418500E-2,3.779845953E0,5.476736546E0,7.166444302E0
9.287439300E-2,3.708019972E0,5.495890141E0,7.147290707E0
9.488460100E-2,3.612251759E0,5.500678539E0,7.065887928E0
9.689481000E-2,3.559579372E0,5.486313343E0,7.046734333E0
9.890501800E-2,3.506906986E0,5.505466938E0,6.989273548E0
1.009152260E-1,3.425503969E0,5.486313343E0,6.955754280E0
1.029254350E-1,3.377619982E0,5.467159748E0,6.927023888E0
1.049356430E-1,3.329735994E0,5.448006153E0,6.883928299E0
1.069458510E-1,3.296217203E0,5.414487362E0,6.879139900E0
1.089560600E-1,3.267486811E0,5.385756493E0,6.816890717E0
1.109662680E-1,3.253121614E0,5.361814499E0,6.725911140E0
1.129764760E-1,3.243544817E0,5.323507309E0,6.634931564E0
1.149866850E-1,3.219602823E0,5.285200119E0,6.558317184E0
1.169968930E-1,3.190872431E0,5.266046524E0,6.500856400E0
1.190071530E-1,3.128623009E0,5.251681328E0,6.452971935E0
1.210174140E-1,3.138199806E0,5.232527733E0,6.419453144E0
1.230276740E-1,3.109469414E0,5.213374138E0,6.424241543E0
1.250379350E-1,3.071162224E0,5.203797340E0,6.500856400E0
1.270481950E-1,3.071162224E0,5.184643745E0,6.587047577E0
1.290552260E-1,3.028066635E0,5.189432144E0,6.630143166E0
1.310622570E-1,2.980182648E0,5.194220543E0,6.658873558E0
1.330697050E-1,3.004124641E0,5.194220543E0,6.658873558E0
1.350776740E-1,2.999336243E0,5.199008942E0,6.711545944E0
1.370862160E-1,2.989759445E0,5.213374138E0,6.759429932E0
1.390953820E-1,3.008913040E0,5.189432144E0,6.807313919E0
1.411051740E-1,3.052008629E0,5.160701752E0,6.859986305E0
1.431155910E-1,3.075950623E0,5.131971359E0,6.936600685E0
1.451266320E-1,3.061585426E0,5.103240967E0,7.065887928E0
1.471381950E-1,3.075950623E0,5.093664169E0,7.209539890E0
1.491502260E-1,3.066373825E0,5.036203384E0,7.300519466E0
1.511626220E-1,3.080739021E0,4.983530998E0,7.415441036E0
1.531752780E-1,3.052008629E0,4.964377403E0,7.515997887E0
1.551880910E-1,3.023278236E0,4.997896194E0,7.592612267E0
1.572009550E-1,2.994547844E0,5.012261391E0,7.674015045E0
1.592134030E-1,2.961029053E0,4.997896194E0,7.693168640E0
1.612236640E-1,2.927510023E0,5.002684593E0,7.721899033E0
1.632338720E-1,2.874837637E0,4.997896194E0,7.769783020E0
1.652440800E-1,2.817376852E0,5.026626587E0,7.841609001E0
1.672542890E-1,2.769492865E0,5.026626587E0,7.841609001E0
1.692644970E-1,2.731185675E0,5.021838188E0,7.889492989E0
1.712747050E-1,2.683301449E0,5.064933777E0,7.942165375E0
1.732849140E-1,2.640205860E0,5.074510574E0,8.009202957E0
1.752951220E-1,2.597110271E0,5.040991783E0,7.999626637E0
1.773053300E-1,2.549226284E0,5.045780182E0,8.009202957E0
1.793155390E-1,2.482188702E0,5.045780182E0,8.047510147E0
1.813257470E-1,2.439092875E0,5.074510574E0,8.090605736E0
1.833359550E-1,2.386420488E0,4.926070213E0,8.071452141E0
1.853461640E-1,2.305017710E0,4.954800606E0,8.085817337E0
1.873563720E-1,2.266710520E0,5.079298973E0,8.109759331E0
1.893665800E-1,2.204461098E0,5.031414986E0,8.128912926E0
1.913767890E-1,2.147000313E0,4.916493416E0,8.114547729E0
1.933869970E-1,2.127846718E0,4.849455357E0,8.138489723E0
1.953972050E-1,2.099116325E0,4.787206173E0,8.186373711E0
1.974074140E-1,2.079962730E0,4.739322186E0,8.224681854E0
1.994176220E-1,2.041655540E0,4.686649799E0,8.253412247E0
2.014278300E-1,2.008136749E0,4.657919407E0,8.296507835E0
2.034380390E-1,1.960252643E0,4.648342609E0,8.339603424E0
2.054482470E-1,1.917157054E0,4.638765812E0,8.363545418E0
2.074584550E-1,1.821388960E0,4.643554211E0,8.406641006E0
2.094686640E-1,1.739986062E0,4.638765812E0,8.425794601E0
2.114788720E-1,1.634641171E0,4.672284603E0,8.449736595E0
2.134890800E-1,1.534084797E0,4.672284603E0,8.488043785E0
2.154992890E-1,1.452681899E0,4.705803394E0,8.478466988E0
2.175094970E-1,1.328183413E0,4.710591793E0,8.488043785E0
2.195197050E-1,1.246780515E0,4.720168591E0,8.521562576E0
2.215299140E-1,1.189319730E0,4.686649799E0,8.507197380E0
2.235401220E-1,1.112705231E0,4.696226597E0,8.564658165E0
2.255503820E-1,1.088763237E0,4.672284603E0,8.612542152E0
2.275606430E-1,1.055244446E0,4.667496204E0,8.665214539E0
2.295709030E-1,1.045667648E0,4.624400616E0,8.693944931E0
2.315811640E-1,1.031302333E0,4.581305027E0,8.756194115E0
2.335914240E-1,1.040879130E0,4.538209438E0,8.808866501E0
2.356016850E-1,1.045667648E0,4.509479046E0,8.871115685E0
2.376119450E-1,1.036090732E0,4.452018261E0,8.942941666E0
2.396222050E-1,1.060032845E0,4.404133797E0,9.062651634E0
2.416324660E-1,1.093551636E0,4.365826607E0,9.167996407E0
2.436427260E-1,1.136647224E0,4.327519417E0,9.316437721E0
2.456529870E-1,1.155800819E0,4.270058632E0,9.431359291E0
2.476632470E-1,1.194108129E0,4.226963043E0,9.608530045E0
2.496735070E-1,1.198896527E0,4.217386246E0,9.742605209E0
