"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
8.119986200E-2,3.130565770E-3,-2.261285335E-1,-3.040092289E-1,-9.254374504E-1,1.796412630E2,3.821385841E1,-2.486231084E1,1.716541350E2
8.619986200E-2,4.056572290E-3,-2.226184011E-1,-3.027884960E-1,-9.266842604E-1,1.795351498E2,3.793966449E1,-2.452249697E1,1.719570838E2
9.119986200E-2,5.870976468E-3,-2.180247009E-1,-3.028516471E-1,-9.277454615E-1,1.793272318E2,3.778669574E1,-2.408546795E1,1.723732235E2
9.619986200E-2,8.104598745E-3,-2.128650844E-1,-3.035209477E-1,-9.287075996E-1,1.790712712E2,3.769367921E1,-2.359685137E1,1.728434218E2
1.011998620E-1,3.744430138E-3,-2.098076344E-1,-3.030091822E-1,-9.295978546E-1,1.795709189E2,3.764395815E1,-2.310034449E1,1.724921363E2
1.061998620E-1,5.620569726E-3,-2.047697604E-1,-3.039432168E-1,-9.304065108E-1,1.793559268E2,3.760218888E1,-2.260990425E1,1.729052540E2
1.111998620E-1,2.949726579E-3,-2.015459985E-1,-3.036932349E-1,-9.312040210E-1,1.796619857E2,3.754731702E1,-2.215741387E1,1.727472937E2
1.161998620E-1,2.944544952E-3,-1.980255246E-1,-3.040153384E-1,-9.318540096E-1,1.796625795E2,3.750605108E1,-2.176818006E1,1.728919096E2
1.211998620E-1,1.290964222E-4,1.957451254E-1,3.035979271E-1,9.324763417E-1,1.799852066E2,3.745962400E1,-2.140616787E1,1.726505397E2
1.261998620E-1,9.044829337E-4,1.927344352E-1,3.033943176E-1,9.331690669E-1,1.798963539E2,3.737955910E1,-2.104854381E1,1.726968603E2
1.311998620E-1,1.439709237E-3,1.895700842E-1,3.027705550E-1,9.340187907E-1,1.798350214E2,3.723946633E1,-2.068636608E1,1.727858543E2
1.361998620E-1,1.872453021E-3,1.864374429E-1,3.019989729E-1,9.348979592E-1,1.797854326E2,3.708097666E1,-2.033258650E1,1.728871375E2
1.411998620E-1,3.847687935E-3,1.839283705E-1,3.006514013E-1,9.358227849E-1,1.795590864E2,3.689231674E1,-1.999481440E1,1.727987980E2
1.461998620E-1,4.837769861E-3,1.812597066E-1,2.990266383E-1,9.368588924E-1,1.794456302E2,3.664856736E1,-1.967815559E1,1.728334909E2
1.511998620E-1,7.420675218E-3,1.789933741E-1,2.965847552E-1,9.380531907E-1,1.791496455E2,3.633950786E1,-1.935431189E1,1.726870477E2
1.561998620E-1,8.049014418E-3,1.759733558E-1,2.941954434E-1,9.393708706E-1,1.790776409E2,3.598875243E1,-1.901844485E1,1.727895310E2
1.611998620E-1,1.079340682E-2,1.734376699E-1,2.914364040E-1,9.406740665E-1,1.787631427E2,3.563904692E1,-1.866325466E1,1.726380957E2
1.661998620E-1,1.111200004E-2,1.699880660E-1,2.891774476E-1,9.419962764E-1,1.787266324E2,3.529424048E1,-1.829017050E1,1.727849737E2
1.711998620E-1,1.277701134E-2,1.668214947E-1,2.867532074E-1,9.432814717E-1,1.785358225E2,3.495850135E1,-1.790210342E1,1.727688746E2
1.761998620E-1,1.287816350E-2,1.630987674E-1,2.846644521E-1,9.445629120E-1,1.785242304E2,3.463060633E1,-1.750458887E1,1.729419254E2
1.811998620E-1,1.415701766E-2,1.596895307E-1,2.824413776E-1,9.457936883E-1,1.783776711E2,3.431268701E1,-1.710175763E1,1.729695392E2
1.861998620E-1,1.410791391E-2,1.558421254E-1,2.803970575E-1,9.470436573E-1,1.783832985E2,3.399065596E1,-1.669440331E1,1.731576091E2
1.911998620E-1,1.495769999E-2,1.522125900E-1,2.784068286E-1,9.482073784E-1,1.782859099E2,3.369505209E1,-1.627987427E1,1.732322411E2
1.961998620E-1,1.482654821E-2,1.483649760E-1,2.763875723E-1,9.494092464E-1,1.783009405E2,3.338008181E1,-1.587397896E1,1.734233077E2
2.011998620E-1,1.610116170E-2,1.450288445E-1,2.740525901E-1,9.505801201E-1,1.781548630E2,3.305715563E1,-1.547975942E1,1.734398479E2
2.061998620E-1,1.599667197E-2,1.413405538E-1,2.719601095E-1,9.517377019E-1,1.781668382E2,3.274089140E1,-1.509008049E1,1.736177929E2
2.111998620E-1,1.747489743E-2,1.380251348E-1,2.697768509E-1,9.528190494E-1,1.779974223E2,3.244283450E1,-1.469048506E1,1.736031111E2
2.161998620E-1,1.661908349E-2,1.339060962E-1,2.681554854E-1,9.538792372E-1,1.780955056E2,3.217205261E1,-1.427330421E1,1.738680864E2
2.211998620E-1,1.761285416E-2,1.301723868E-1,2.664779127E-1,9.548478723E-1,1.779816112E2,3.192638654E1,-1.383949257E1,1.739099617E2
2.261998620E-1,1.609131567E-2,1.257515848E-1,2.652102709E-1,9.558196068E-1,1.781559915E2,3.169174974E1,-1.340639612E1,1.742497587E2
2.311998620E-1,1.595161493E-2,1.218371242E-1,2.637478113E-1,9.567331672E-1,1.781720020E2,3.146031098E1,-1.298622722E1,1.744174703E2
2.361998620E-1,1.452486819E-2,1.177700460E-1,2.623556852E-1,9.576475024E-1,1.783355142E2,3.122301626E1,-1.258824517E1,1.747315687E2
2.411998620E-1,1.455591963E-2,1.142376140E-1,2.606548965E-1,9.585389495E-1,1.783319556E2,3.097435569E1,-1.220524446E1,1.748662735E2
2.461998620E-1,1.341008680E-2,1.104827523E-1,2.589407563E-1,9.594599605E-1,1.784632712E2,3.071065232E1,-1.183317054E1,1.751382984E2
2.511998620E-1,1.310587596E-2,1.068921760E-1,2.570027709E-1,9.603915215E-1,1.784981342E2,3.043338494E1,-1.145394446E1,1.753111424E2
2.561998620E-1,1.173852179E-2,1.027397215E-1,2.551271319E-1,9.613620043E-1,1.786548336E2,3.014906333E1,-1.104328336E1,1.756178623E2
2.611998620E-1,1.127448161E-2,9.836616367E-2,2.531301081E-1,9.623523951E-1,1.787080122E2,2.986010318E1,-1.058056973E1,1.758288738E2
2.661998620E-1,8.649662228E-3,9.306791425E-2,2.514500022E-1,9.633464813E-1,1.790088094E2,2.958354896E1,-1.007652707E1,1.763039535E2
2.711998620E-1,7.879171399E-3,8.828134090E-2,2.499521822E-1,9.641930461E-1,1.790971041E2,2.935516463E1,-9.572859926E0,1.765507679E2
2.761998620E-1,4.287945803E-3,8.242437989E-2,2.488097399E-1,9.650292993E-1,1.795086361E2,2.914092403E1,-9.029914242E0,1.771391488E2
2.811998620E-1,5.633158838E-4,7.588935643E-2,2.475055903E-1,9.659096599E-1,1.799354488E2,2.890933012E1,-8.414053762E0,1.777606037E2
2.861998620E-1,3.086872617E-3,-7.039772719E-2,-2.465692312E-1,-9.665600061E-1,1.796462699E2,2.873683045E1,-7.909542461E0,1.783367761E2
2.911998620E-1,4.311057922E-3,-6.651251018E-2,-2.459835559E-1,-9.669796228E-1,1.795059876E2,2.863729178E1,-7.513129579E0,1.785906273E2
2.961998620E-1,6.360985552E-3,-6.287735701E-2,-2.457263321E-1,-9.672768712E-1,1.792710798E2,2.857497024E1,-7.167228323E0,1.789260984E2
3.011998620E-1,7.153875060E-3,-5.995323509E-2,-2.456304878E-1,-9.674813151E-1,1.791802193E2,2.854530226E1,-6.864498712E0,1.790991064E2
3.061998620E-1,8.320665360E-3,-5.721624568E-2,-2.457924038E-1,-9.675965905E-1,1.790465110E2,2.854597505E1,-6.592943183E0,1.793064411E2
3.111998620E-1,7.962868211E-3,-5.511940271E-2,-2.461515218E-1,-9.676300287E-1,1.790875129E2,2.858252261E1,-6.349357724E0,1.793240319E2
3.161998620E-1,8.633202232E-3,-5.293600634E-2,-2.468473315E-1,-9.675689340E-1,1.790106956E2,2.865320953E1,-6.125156355E0,1.794567180E2
